Epoch,Before Cost,After Cost
"[133, 212187.41369628906, 149307.85220336914]"
"[134, 227678.63458251953, 157955.1766357422]"
"[135, 222521.2388305664, 157363.7777709961]"
"[136, 216625.35272216797, 152129.44464111328]"
"[137, 217997.99591064453, 151174.82257080078]"
"[138, 215419.08905029297, 151407.28466796875]"
"[139, 216597.69537353516, 151930.7525024414]"
"[140, 218267.0203857422, 153110.84326171875]"
"[141, 213025.9349975586, 147832.2319946289]"
"[142, 217612.12078857422, 151869.9757385254]"
"[143, 227049.78692626953, 157747.0067138672]"
"[144, 213576.71118164062, 149865.41137695312]"
"[145, 210777.62365722656, 145692.2548828125]"
"[146, 223491.48364257812, 155438.13830566406]"
"[147, 219359.19024658203, 151401.51544189453]"
"[148, 209864.40673828125, 145957.36529541016]"
"[149, 220477.87982177734, 153339.74688720703]"
"[150, 219413.15399169922, 153802.54962158203]"
"[151, 216315.25549316406, 149724.1141357422]"
"[152, 217497.63604736328, 151159.88250732422]"
"[153, 218956.7872314453, 152823.2230834961]"
"[154, 217178.80145263672, 154299.06381225586]"
"[155, 226573.05670166016, 160720.76110839844]"
"[156, 219961.3823852539, 153890.28002929688]"
"[157, 216490.62225341797, 154367.86239624023]"
"[158, 220757.95880126953, 155535.37957763672]"
"[159, 220090.48162841797, 152665.40502929688]"
"[160, 217419.4105834961, 150580.75329589844]"
"[161, 214159.36798095703, 148787.72381591797]"
"[162, 223557.0760498047, 154884.8389892578]"
"[163, 211135.71325683594, 148780.96160888672]"
"[164, 225671.2410888672, 157118.49911499023]"
"[165, 223443.04779052734, 156192.3359375]"
"[166, 218664.9453125, 152521.47598266602]"
"[167, 217412.73663330078, 151118.2253112793]"
"[168, 218523.3134765625, 150561.3722229004]"
"[169, 221844.36560058594, 155839.84713745117]"
"[170, 226025.64965820312, 159109.9630126953]"
"[171, 224753.1851196289, 156220.13885498047]"
"[172, 217734.9281616211, 150486.1697998047]"
"[173, 215479.7680053711, 150305.21295166016]"
"[174, 225191.06121826172, 158938.09735107422]"
"[175, 222776.2935180664, 157317.39315795898]"
"[176, 218235.0380859375, 152370.84051513672]"
"[177, 212884.25775146484, 148231.71325683594]"
"[178, 219637.93682861328, 153643.8663330078]"
"[179, 221053.78759765625, 154837.00592041016]"
"[180, 221466.74462890625, 156218.87768554688]"
"[181, 217110.95751953125, 150970.95635986328]"
"[182, 217202.76489257812, 149450.9503173828]"
"[183, 219003.4340209961, 152113.94451904297]"
"[184, 217147.40643310547, 152868.4877319336]"
"[185, 221248.97052001953, 152807.865234375]"
"[186, 222657.62310791016, 155857.712890625]"
"[187, 224304.06646728516, 157469.6343383789]"
"[188, 219488.63458251953, 154559.91033935547]"
