Epoch,Before Cost,After Cost
"[160, 145311.265625, 95105.8515625]"
"[161, 144046.671875, 103811.53125]"
"[162, 289309.90625, 182676.25]"
"[163, 189012.625, 138761.96875]"
"[164, 219802.75, 139435.5625]"
"[165, 179413.640625, 121359.21875]"
"[166, 270990.875, 183377.359375]"
"[167, 262548.8125, 193031.484375]"
"[168, 195182.703125, 139258.484375]"
"[169, 261473.28125, 185491.9375]"
"[170, 273359.0625, 207981.1875]"
"[171, 269072.0625, 179288.796875]"
"[172, 313773.125, 206086.515625]"
"[173, 173050.28125, 94165.234375]"
"[174, 332344.5, 213926.015625]"
"[175, 179265.28125, 98122.25]"
"[176, 146878.609375, 98866.6171875]"
"[177, 209053.4375, 134651.625]"
"[178, 181309.8125, 93814.4921875]"
"[179, 146878.609375, 98564.9921875]"
"[180, 345551.0, 201667.453125]"
"[181, 222757.171875, 143814.53125]"
"[182, 140671.90625, 102718.2734375]"
"[183, 144589.78125, 87446.9921875]"
"[184, 336136.09375, 250335.6875]"
"[185, 148203.328125, 99521.109375]"
"[186, 231487.84375, 161114.203125]"
"[187, 216584.59375, 148889.75]"
"[188, 269072.0625, 182160.984375]"
"[189, 303273.0, 208673.828125]"
"[190, 196936.0, 129444.9140625]"
"[191, 221589.578125, 139450.875]"
"[192, 127373.78125, 83219.0546875]"
"[193, 225653.390625, 156939.1875]"
"[194, 199779.0625, 119243.484375]"
"[195, 187247.453125, 118763.3359375]"
"[196, 249146.140625, 150462.484375]"
"[197, 247841.5625, 142052.625]"
"[198, 142928.1875, 94386.546875]"
"[199, 252501.203125, 148214.546875]"
"[200, 200024.625, 134094.21875]"
"[201, 184180.90625, 126279.234375]"
"[202, 151498.765625, 82072.8671875]"
"[203, 304363.34375, 227334.328125]"
"[204, 237596.3125, 134971.375]"
"[205, 188429.015625, 120492.2421875]"
"[206, 122868.046875, 72926.21875]"
"[207, 202337.0, 124841.21875]"
"[208, 291914.0, 205599.921875]"
"[209, 197642.328125, 148948.6875]"
"[210, 211062.84375, 143286.28125]"
"[211, 199779.0625, 121958.0]"
"[212, 281941.1875, 201098.171875]"
"[213, 180262.265625, 127364.9296875]"
"[214, 224057.0625, 171462.21875]"
"[215, 213958.59375, 114266.0078125]"
"[216, 289825.125, 208778.046875]"
"[217, 144046.671875, 107191.65625]"
"[218, 99976.046875, 64604.35546875]"
"[219, 199442.109375, 147505.515625]"
"[220, 259459.921875, 146857.96875]"
"[221, 190717.34375, 158027.5625]"
"[222, 138575.359375, 88159.3984375]"
"[223, 212818.234375, 143535.75]"
"[224, 249603.546875, 150404.34375]"
"[225, 247767.921875, 171685.578125]"
"[226, 191008.640625, 106160.671875]"
"[227, 267751.6875, 129397.046875]"
"[228, 287367.0, 172912.296875]"
"[229, 205285.703125, 130265.359375]"
"[230, 232280.0, 165116.484375]"
"[231, 238101.1875, 154460.84375]"
"[232, 327961.8125, 243393.21875]"
"[233, 167753.796875, 105249.203125]"
"[234, 218181.21875, 122889.078125]"
"[235, 223486.578125, 130636.5625]"
"[236, 162616.578125, 101113.3984375]"
"[237, 272007.96875, 182465.46875]"
"[238, 174508.09375, 110666.84375]"
"[239, 225603.828125, 174989.359375]"
"[240, 293807.375, 199379.015625]"
"[241, 267660.28125, 138454.0]"
"[242, 136597.0625, 71011.265625]"
"[243, 209117.0, 139565.875]"
"[244, 342413.625, 235161.234375]"
"[245, 165088.953125, 103298.8828125]"
"[246, 190447.578125, 117575.3828125]"
"[247, 204062.296875, 134048.71875]"
"[248, 175503.359375, 97606.984375]"
"[249, 216721.953125, 129877.4453125]"
"[250, 192083.71875, 133816.0]"
"[251, 321624.71875, 211736.34375]"
"[252, 214797.28125, 150379.25]"
"[253, 242720.171875, 124359.8984375]"
"[254, 236583.328125, 183997.96875]"
"[255, 164826.453125, 99073.640625]"
"[256, 158484.640625, 82193.2890625]"
"[257, 226555.28125, 188700.34375]"
"[258, 167283.609375, 96689.5390625]"
"[259, 209742.6875, 128803.9296875]"
"[260, 183084.28125, 140682.25]"
"[261, 257654.328125, 171530.890625]"
"[262, 192950.421875, 136983.34375]"
"[263, 242882.421875, 141408.1875]"
"[264, 237616.09375, 155898.6875]"
"[265, 124643.3984375, 70308.90625]"
"[266, 179861.46875, 119706.5390625]"
"[267, 378993.3125, 299107.375]"
"[268, 198856.71875, 100298.2109375]"
"[269, 155207.703125, 77757.2421875]"
"[270, 324734.0, 209145.5]"
"[271, 251362.765625, 181343.71875]"
"[272, 257402.671875, 171982.015625]"
"[273, 219099.09375, 170607.3125]"
"[274, 236697.984375, 186084.734375]"
"[275, 206942.4375, 113719.3125]"
"[276, 200369.25, 130300.078125]"
"[277, 288367.75, 179876.59375]"
"[278, 168163.484375, 128743.7265625]"
"[279, 191052.703125, 138047.9375]"
"[280, 148273.90625, 89290.234375]"
"[281, 164207.015625, 95233.578125]"
"[282, 187812.609375, 131406.71875]"
"[283, 286590.625, 183144.359375]"
"[284, 169838.609375, 119444.0078125]"
"[285, 312460.0, 228549.921875]"
"[286, 136665.84375, 93440.0]"
"[287, 284835.875, 175314.953125]"
"[288, 215577.15625, 160042.25]"
"[289, 291185.90625, 166153.5]"
"[290, 153907.984375, 88401.328125]"
"[291, 182105.796875, 115881.734375]"
"[292, 153878.609375, 104499.875]"
"[293, 185763.265625, 125461.359375]"
"[294, 274786.46875, 176783.65625]"
"[295, 247303.171875, 123756.359375]"
"[296, 253212.828125, 159387.890625]"
"[297, 136808.375, 87287.046875]"
"[298, 226025.0, 154094.25]"
"[299, 222526.90625, 175974.015625]"
"[300, 197785.375, 123678.140625]"
"[301, 226179.65625, 146245.890625]"
"[302, 143033.1875, 60374.69921875]"
"[303, 261036.265625, 172572.171875]"
"[304, 171366.375, 126950.3203125]"
"[305, 195108.8125, 124804.265625]"
"[306, 239717.21875, 189855.96875]"
"[307, 175640.734375, 116432.4375]"
"[308, 309103.65625, 207698.796875]"
"[309, 234863.765625, 125128.015625]"
"[310, 236697.984375, 186079.171875]"
"[311, 194456.265625, 127926.6953125]"
"[312, 130575.234375, 79260.4375]"
"[313, 254845.921875, 183600.015625]"
"[314, 251473.828125, 209329.5]"
"[315, 214587.625, 144930.21875]"
"[316, 152436.734375, 100181.109375]"
"[317, 236605.015625, 180018.15625]"
"[318, 205189.65625, 116833.171875]"
"[319, 249462.90625, 155672.71875]"
"[320, 169742.84375, 97834.8828125]"
"[321, 226510.890625, 136980.015625]"
"[322, 242307.03125, 161495.09375]"
"[323, 205590.046875, 137742.65625]"
"[324, 293556.0625, 218468.515625]"
"[325, 164115.921875, 104791.4375]"
"[326, 317219.125, 192270.140625]"
"[327, 148341.4375, 96257.8203125]"
"[328, 329750.21875, 202525.765625]"
"[329, 337961.875, 184926.125]"
"[330, 182589.1875, 131670.28125]"
"[331, 181533.46875, 122060.7109375]"
"[332, 203597.703125, 128000.0390625]"
"[333, 324209.5625, 220035.71875]"
"[334, 146266.6875, 98977.3828125]"
"[335, 166276.09375, 104213.9765625]"
"[336, 174694.5625, 130714.9921875]"
"[337, 109868.4453125, 58661.17578125]"
"[338, 197512.359375, 131667.59375]"
"[339, 210082.734375, 139009.5625]"
"[340, 292535.625, 206467.4375]"
"[341, 157572.15625, 100867.28125]"
"[342, 106170.9140625, 59963.71484375]"
"[343, 235807.625, 167032.15625]"
"[344, 227608.84375, 116937.8046875]"
"[345, 193165.96875, 128358.28125]"
"[346, 260882.703125, 163655.265625]"
"[347, 132047.65625, 83724.046875]"
